gene_name,gene_id
AARS,NA
ABCC1,NA
ABCC3,NA
ABCC4,NA
ABCD3,NA
ABCE1,NA
ABCG1,NA
ABI1,NA
ABL2,NA
ABLIM3,NA
ACACA,NA
ACADL,NA
ACAT1,NA
ACAT2,NA
ACKR4,ncbi_100859797
ACLY,NA
ACO1,NA
ACO2,NA
ACOT7,NA
ACPL2,NA
ACSL1,NA
ACSL4,NA
ACSL5,ncbi_423896
ACTA1,NA
ACTB,NA
ACTBL2L,ncbi_426652
ACTN1,NA
ACVR1,NA
ADA,ncbi_419194
ADAM17,NA
ADAM5P,ncbi_423946
ADAM9,NA
ADAMTS2,NA
ADAMTS3,ncbi_428760
ADAMTS5,ncbi_427971
ADAMTS8,ncbi_769222
ADAR,ncbi_769675
ADCYAP1R1,ncbi_420386
ADFP,NA
ADGRD2,ncbi_100858563
ADGRL4,ncbi_424546
ADH1C,NA
ADK,NA
ADM,ncbi_423042
ADRM1,NA
ADSL,NA
ADSS,NA
AFF4,NA
AGPAT9,NA
AGRN,NA
AGT,NA
AHCY,NA
AHNAK2,NA
AHR,NA
AHR1B,ncbi_100859347
AHR2,ncbi_424033
AIG1,NA
AIM1,NA
AIPL1,ncbi_769785
AKAP1,NA
AKAP12,NA
AKR1B1,NA
AKT3,NA
ALCAM,NA
ALDH1A1,NA
ALDH1A3,NA
ALDH2,NA
ALDH4A1,NA
ALDH7A1,NA
ALDH9A1,NA
ALG3,NA
ALK,ncbi_421297
ALOX5,ncbi_423769
ALS2CR2,NA
AMFR,NA
AMPD3,NA
AMPH,NA
ANGPTL1,NA
ANK3,NA
ANKFY1,NA
ANKRD1,NA
ANKRD22,NA
ANKS1A,NA
ANLN,NA
ANP32A,NA
ANXA1,NA
ANXA5,NA
ANXA7,NA
AP1S2,NA
AP3M2,NA
APAF1,ncbi_417926
APBB2,NA
APOA2,ncbi_100858842
APOB,NA
APOD,NA
APOF,ncbi_107055401
APP,NA
APPBP1,NA
AQP1,ncbi_420384
AQP9,NA
ARFGAP3,NA
ARG2,NA
ARHGAP21,NA
ARHGAP25,NA
ARHGAP26,NA
ARHGAP8,ncbi_418239
ARHGDIA,NA
ARHGEF3,NA
ARID1B,NA
ARID5A,ncbi_101749459
ARL10,ncbi_416229
ARL6,NA
ARL6IP1,NA
ARL6IP5,NA
ARMC1,NA
ARMC3,ncbi_420503
ARNTL,NA
ARPP21,ncbi_428459
ASB2,NA
ASCC2,NA
ASCC3L1,NA
ASL2,ncbi_417545
ASNS,NA
ASPA,NA
ASPG,ncbi_772201
ASS1,ncbi_417185
ATF3,ncbi_421369
ATG7,NA
ATOH8,ncbi_771738
ATP10A,NA
ATP13A3,NA
ATP1B3,NA
ATP2A2,NA
ATP2B1,NA
ATP2B2,NA
ATP5O,NA
ATP6AP2,NA
ATP6V0B,NA
ATP6V0C,NA
ATP6V0D1,NA
ATP6V1A,NA
ATP6V1B2,NA
ATP9B,NA
ATXN10,NA
ATXN7,NA
AUTS2,ncbi_417481
AvBD4,ncbi_414342
AVEN,NA
AXUD1,NA
AZI2,NA
B2M,ncbi_414830
B3GNT7,ncbi_424930
B4GALNT4,ncbi_770601
B4GALT1,NA
B4GALT5,NA
BAG1,NA
BAG3,ncbi_423931
BAI3,NA
BAK1,NA
BCKDHA,NA
BCL11A,NA
BCL2A1,NA
BCL2L13,NA
BCL6,NA
BCLAF1,NA
BCO1,ncbi_395346
BCR,NA
BEND6,ncbi_775985
BEST4,ncbi_771694
BF1,ncbi_693260
BF2,ncbi_425389
BHLHB2,NA
BID,NA
BIRC2,NA
BIRC7,ncbi_419239
BLB1,ncbi_693256
BLNK,NA
BLVRA,NA
BLZF1,NA
BMP2,ncbi_378779
BMP3,ncbi_422581
BMP4,ncbi_396165
BNIP1,NA
BPGM,NA
BRCA1,NA
BRD2,NA
BRD3,NA
BRF2,NA
BSG,NA
BTBD11,NA
BTG1,NA
BTG2,NA
BTN1A1,ncbi_420061
BUB1,NA
BUD31,NA
BZW1,NA
C12orf35,NA
C15orf48,NA
C16orf71,ncbi_100858336
C19orf28,NA
C1R,ncbi_418295
C1S,ncbi_418294
C20orf175,NA
C21orf7,NA
C22orf28,NA
C26H6ORF222,ncbi_419812
C2orf56,NA
C3,ncbi_396370
C3AR1,NA
C3H8ORF80,ncbi_422000
C4BPA,NA
C4orf32,NA
C4orf33,NA
C5NT1AL,ncbi_770392
C8G,ncbi_770691
C8orf32,NA
C9orf119,NA
C9orf19,NA
C9orf91,NA
CABC1,NA
CACNA1E,ncbi_424412
CALCOCO2,ncbi_419993
CALD1,NA
CALM1,NA
CALM3,NA
CAMK1D,ncbi_425522
CAMK2B,NA
CAMK2D,ncbi_422688
CAMK2G,NA
CAMKK2,ncbi_396405
CAMLG,NA
CANX,NA
CAPN2,NA
CAPN5,ncbi_419086
CAPRIN1,NA
CAPZA1,NA
CARD8,ncbi_416998
CARD9,ncbi_427756
CASP1,NA
CASP10,NA
CASP18,ncbi_693266
CASP7,ncbi_423901
CASP8,NA
CASP8AP2,NA
CAV1,NA
CAV2,NA
CBFB,NA
CBR1,NA
CBX1,NA
CBX3,NA
CCAR1,NA
CCBL1,NA
CCDC109B,NA
CCDC75,NA
CCDC80,ncbi_395074
CCDC92,NA
CCK,NA
CCL19,NA
CCL20,NA
CCL4,ncbi_395468
CCL5,NA
CCNA1,NA
CCNA2,NA
CCND1,NA
CCND2,NA
CCND3,NA
CCNF,NA
CCNH,NA
Ccr5,NA
CCR5,NA
CCR5 like,NA
CCR7,NA
CCR9,NA
CCT2,NA
CCT6A,NA
CCT8,NA
CD164,NA
CD200,NA
CD274,ncbi_427224
CD300A,NA
CD36,ncbi_417730
CD38,NA
CD40,NA
CD40LG,NA
CD44,NA
CD47,NA
CD7,ncbi_417346
CD74,NA
CD80,NA
CD81,NA
CD83,ncbi_420838
CD86,NA
CD9,NA
CD93,NA
CD99,NA
CDC123,NA
CDC16,NA
cdc2,NA
CDC2,NA
CDC20,NA
CDC27,NA
CDC5L,NA
CDC7,NA
CDC73,NA
CDH13,NA
CDH2,NA
CDH5,NA
CDK14,ncbi_420546
CDK9,NA
CDKL5,NA
CDKN1A,ncbi_378914
CDKN2B,NA
CDV3,NA
CEBPB,NA
CEBPZ,NA
CECR1,NA
CECR5L,ncbi_415969
CELSR1,ncbi_426068
CES1,NA
CETN2,NA
CFH,NA
CFI,NA
CFLAR,NA
CGRRF1,NA
CHD4,NA
CHIC1,NA
CHKA,NA
CHL1,ncbi_416102
CHMP4B,NA
CHMP5,NA
CHRNA4,NA
CHRNB2,NA
CIP1,NA
CISH,ncbi_395335
CKAP5,NA
CKB,NA
CL2,ncbi_422633
CLC2DL4,ncbi_100857569
CLC2DL5,ncbi_776458
CLDN1,NA
CLDN2,NA
CLDN34,ncbi_101749507
CLDN5,NA
CLDND1,NA
CLNS1A,NA
CLTA,NA
CLTC,NA
CLTCL1,NA
CLUAP1,NA
CMPK2,ncbi_421921
CMTM6,ncbi_420667
CMTM7,NA
CMTR1,ncbi_421434
CNP,ncbi_395921
CNTN1,ncbi_417786
CNTN5,ncbi_395317
COL11A1,NA
COL16A1,NA
COL17A1,ncbi_396503
COL3A1,ncbi_396340
COL4A1,NA
COL4A2,NA
COL6A3,NA
COL8A2,ncbi_428221
COL9A3,ncbi_396242
COMMD1,NA
COMMD3,NA
COMP,NA
COMT,NA
COPS2,NA
COPS5,NA
COX5A,NA
COX7C,NA
CP,NA
CPEB1,ncbi_415326
CPS1,ncbi_428994
CPSF4,NA
CPT1A,NA
CREB3,NA
CREB3L3,NA
CRP,NA
CRY1,NA
CRYAB,NA
CRYM,NA
CSDE1,NA
CSF1R,NA
CSF2RB,NA
CSF3,NA
CSF3R,NA
CSNK1A1,NA
CSNK1D,NA
CSRP1,NA
CSRP3,NA
CTCF,NA
CTGF,NA
CTH,NA
CTR9,NA
CTSA,NA
CTSH,NA
CTSK,NA
CTSS,NA
CTTN,NA
CX3CL1,ncbi_415651
CXCR4,NA
CXXC5,NA
CYBB,NA
CYCS,NA
CYGB,ncbi_427802
CYP1A2,ncbi_396051
CYP1B1,NA
CYP24A1,ncbi_395827
CYP27A1,NA
CYP2C23a,ncbi_414746
CYP2C23b,ncbi_414841
CYP2C45,ncbi_414833
CYP2J2,NA
CYP51A1,NA
CYP7B1,ncbi_420164
CYR61,ncbi_429089
CYTH1,NA
CYYR1,ncbi_770067
DARS,NA
DBN1,NA
DBT,NA
DCI,NA
DCP1A,NA
DCTN1,NA
DCUN1D4,NA
DDB2,NA
DDX1,NA
DDX10,NA
DDX17,NA
DDX18,NA
DDX19B,NA
DDX3X,NA
DDX52,NA
DDX60,ncbi_422427
DEDD,NA
DEFB1,NA
DEGS1,NA
DEK,NA
DENND2D,ncbi_421153
DFFA,NA
DHCR24,NA
DHFR,NA
DHRSX,ncbi_428007
DIO2,ncbi_373903
DLX5,ncbi_373969
DLX6,ncbi_772070
DMXL1,NA
DNAJA1,NA
DNAJC7,NA
DOC2B,ncbi_417624
DPM1,NA
DPT,NA
DR1,NA
DRAM1,ncbi_418095
DRG1,NA
DSP,NA
DST,ncbi_421884
DSTN,NA
DTX3L,ncbi_424267
DUSP1,NA
DUSP10,NA
DUSP3,NA
DUSP5,NA
DUSP6,NA
DYNLT1,NA
DYRK1A,NA
E2F3,NA
E2F4,NA
E2F6,NA
ECE1,NA
EDC4,NA
EDEM1,NA
EDEM2,NA
EDN1,ncbi_420854
EDN2,ncbi_419596
EDN3,NA
EEF1A1,NA
EEF1B2,NA
EEF1D,NA
EF2,XLOC_018133
EFCAB6,NA
EFR3A,NA
EGFLAM,ncbi_427445
EGFR,NA
EGR1,NA
EHHADH,NA
EIF1,NA
EIF1AY,NA
EIF2A,NA
EIF2AK2,ncbi_395147
EIF2S1,NA
EIF2S2,NA
EIF2S3,NA
EIF3A,NA
EIF3D,NA
EIF3E,NA
EIF3G,NA
EIF4A3,NA
EIF4E3,ncbi_416093
EIF4G1,NA
EIF4G2,NA
EIF5,NA
EIF5B,NA
ELAVL1,NA
ELAVL2,NA
ELF1,NA
ELK3,NA
ELK4,NA
ELMOD1,ncbi_418971
ELN,NA
EMILIN2,ncbi_421058
EMP2,NA
ENAH,NA
ENG,NA
ENO1,NA
ENO2,NA
ENPP1,NA
ENTPD8L,ncbi_417281
EPAS1,NA
EPB41,NA
EPB41L3,ncbi_421055
EPHA2,NA
EPHA4,NA
EPHB2,NA
EPRS,NA
EPS15,NA
EPS8,NA
EPSTI1,ncbi_418837
ERAP1,ncbi_427122
ERCC4,NA
EREG,NA
ERH,NA
ERLIN1,NA
ERLIN2,NA
ERRFI1,NA
ETFA,NA
ETS2,NA
ETV4,NA
ETV5,NA
ETV6,NA
ETV7,ncbi_419813
EVI2A,ncbi_776037
EVPL,NA
EWSR1,NA
EXD3,ncbi_417283
EXOC3L,ncbi_423478
EXOSC9,NA
EXT1,NA
EXTL2,NA
F2RL2,NA
F8,NA
FABP1,NA
FABP5,NA
FABP6,ncbi_416154
FABP7,NA
FADD,NA
FAH,NA
FAM110A,ncbi_100858650
FAM125B,NA
FAM155A,ncbi_768473
FAM184B,ncbi_100859145
FAM208B,ncbi_416689
FAM26E,ncbi_769904
FAM26F,NA
FAM3C,NA
FAM46C,NA
FAM70A,NA
FANCC,NA
FAS,NA
FASLG,NA
FASN,NA
FBN1,NA
FBN2,NA
FBN3,ncbi_395079
FBXO21,NA
FBXO39,NA
FBXW11,NA
Fcer1g,NA
FCER1G,NA
FCN2,NA
FDPS,NA
FER1L3,NA
FEZ1,NA
FGF13,ncbi_414831
FGF14,ncbi_395554
FGF2,NA
FGF3,NA
FGFBP2,NA
FGFRL1,ncbi_395107
FGG,NA
FGL2,ncbi_768821
FHIT,NA
FILIP1L,ncbi_769163
FKBP1B,NA
FKBP4,NA
FKBP5,NA
FKBP6,ncbi_417460
FLNB,ncbi_378913
FLT1,NA
FLT4,ncbi_395742
FMO3,ncbi_395267
FMR1,ncbi_422395
FN1,NA
FNBP4,NA
FNDC3A,ncbi_418863
FNDC3B,NA
FNDC4,NA
FOS,ncbi_396512
FOXA2,NA
FOXF1,NA
FOXG1,NA
FOXL1,ncbi_768576
FOXS1,ncbi_428156
FSD1L,ncbi_427302
FSHR,ncbi_395962
FST,NA
FTH1,NA
FUBP1,NA
FUT10,ncbi_395073
FXR1,NA
G0S2,NA
GABARAPL3,NA
GABRA2,ncbi_770511
GABRA3,NA
GADD45A,NA
GADD45B,NA
GAK,NA
GAL3ST1,NA
GALNT1,NA
GALNT2,NA
GAPDH,NA
GARS,NA
GATA3,ncbi_419106
GATA6,NA
GBE,ncbi_417972
GBP,ncbi_395366
GBP1,ncbi_419563
GBP4L,ncbi_415922
GBP6,NA
GCG,NA
GCH1,ncbi_396146
GCK,NA
GCLC,NA
GCLM,NA
GCSH,NA
GDF5,NA
GDPD4,ncbi_419084
GDPD5,ncbi_419070
GEM,NA
GEMIN8,NA
GFPT2,ncbi_426962
GGA1,NA
GGT5,ncbi_416943
GHSR,ncbi_378911
GIMAP7L2,ncbi_101747807
GIMAP7L5,ncbi_101751647
GIMAP8L1,ncbi_101751764
GINS1,NA
GJA4,NA
GK,NA
GLCCI1,ncbi_420580
GLG1,NA
GLI1,NA
GLI2,NA
GLIPR1,NA
GLMN,NA
GLO1,NA
GLRX,NA
GLT1D1,ncbi_416807
GLUD1,NA
GLUL,NA
GMFB,NA
GMPR,NA
GNA13,NA
GNAI1,NA
GNAZ,NA
GNB1,NA
GNG10,NA
GNGT2,ncbi_100859179
GNL2,NA
GOLGA3,NA
GOLGA7,NA
GP1BA,ncbi_100857333
GP5,ncbi_100857508
GPER1,ncbi_416457
GPI,NA
GPR133,NA
GPR22,ncbi_769379
GPR37,NA
GPS1,NA
GRB2,NA
GRIN2B,ncbi_417965
GRM8,NA
GSTO1,NA
GSTZ1,NA
GTF2H1,NA
GTPBP1,NA
GTPBP2,NA
GUSB,NA
GYG1,NA
GYS2,NA
H3F3B,NA
HADH,NA
HADHA,NA
HADHB,NA
HBE1,NA
HBEGF,NA
HCRT,NA
HDAC1,NA
HDC,NA
HDHD1A,NA
HDLBP,NA
HEATR7B2L1,ncbi_768434
HEG1,NA
HELB,ncbi_417836
HELZ2,ncbi_419265
HERC4L,ncbi_422513
HERPUD1,ncbi_415644
HESX1,NA
HEXB,NA
HEY1,NA
HIC1,NA
HIF1A,NA
HIRA,NA
HIST1H2B7,ncbi_417956
HIST2H2AC,NA
HIST2H3L,ncbi_769852
HK1,NA
HK2,NA
HLA-F10AL4,ncbi_100859134
HMGA1,NA
HMGA2,NA
HMGB1,NA
HMGB2,NA
HMGCR,NA
HMGN1,NA
HMGN2,NA
HMGN3,NA
HMMR,NA
HMOX1,NA
HNF1A,NA
HNMT,NA
HNRNPA2B1,NA
HNRNPU,NA
HNRPK,NA
HOPX,NA
HOXA4,NA
HOXB7,NA
HOXC4,ncbi_107055411
HPRT1,NA
HPS5,ncbi_423079
HPSE,NA
HRASLS,ncbi_424903
HSD11B1,NA
HSF1,NA
HSP90AA1,NA
HSPA4,NA
HSPA8,ncbi_395853
HSPB2,NA
HSPD1,NA
HSPE1,NA
HTD2,ncbi_112533344
HTR2A,ncbi_428070
HTR2C,ncbi_428707
HTRA3,ncbi_422868
HYAL3,ncbi_100859903
HYOU1,NA
IAP,NA
IAPP,NA
IARS,NA
ID1,ncbi_395282
ID2,ncbi_395852
ID3,ncbi_395281
Idh2,NA
IDI1,NA
IFI27L2,ncbi_403121
IFI35,ncbi_420011
IFI6,ncbi_403120
IFIH1,ncbi_424185
IFIT5,ncbi_423790
IFITM3,ncbi_770612
IFITM5,ncbi_422992
IFNA3,ncbi_396398
IFNAL1,ncbi_100859414
IFNAR1,NA
IFNAR2,NA
IFNG,NA
IFNGR1,NA
IFNGR2,NA
IFRD1,NA
IGF2,ncbi_395097
IGF2BP2,ncbi_424865
IGFBP2,NA
IGFBP3,NA
IGFBP4,NA
IGFBP5,ncbi_424220
IGHMBP2,NA
IKZF3,NA
IL10,NA
IL10RB,NA
IL12A,NA
IL12RB2,NA
IL13,NA
IL13RA1,ncbi_422230
IL15,ncbi_395258
IL15RA,ncbi_416686
IL16,NA
IL17RA,NA
IL18,NA
IL1B,NA
IL1R2,NA
IL1RL1,NA
IL20RA,NA
IL22,NA
IL23R,XLOC_009995
IL28RA,NA
IL2RA,NA
IL3,NA
IL4,NA
IL4I1,ncbi_417039
IL5,NA
IL6,NA
IL6ST,NA
IL7,ncbi_420193
IL7R,ncbi_426054
IL8,NA
IL8L2,ncbi_396495
IL8RB,NA
ILK,NA
INHBA,ncbi_396361
INOC1,NA
INPP4B,NA
INPP5A,NA
INPP5D,NA
INPP5E,NA
INSM2,ncbi_107053590
IP6K2,NA
IQGAP1,NA
IQSEC3,ncbi_418146
IRF1,ncbi_396384
IRF2,NA
IRF4,NA
IRF5,NA
IRF7,ncbi_396330
IRF8,ncbi_396385
IRF9,ncbi_395243
ISG12-2,NA
ISG20L1,NA
ISG20L2,NA
ISL2,ncbi_396382
ITGA3,NA
ITGAV,NA
ITGB1,NA
ITGB2,NA
ITGB3,ncbi_374209
ITGB5,NA
ITGB6,NA
ITGB8,NA
ITK,NA
ITPR1,NA
Itpripl1,XLOC_007745
JAG1,NA
JAK1,NA
JAK2,ncbi_374199
JARID1A,NA
JMJD2A,NA
JUN,NA
KAL1,NA
KAZN,ncbi_426211
KCND3,ncbi_374228
KCNF1,ncbi_428652
KCNJ5,ncbi_395925
KCTD14,NA
KDELR2,NA
KIAA0020,NA
KIAA0082,NA
KIAA0152,NA
KIAA0174,NA
KIAA0226,NA
KIAA0423,NA
KIAA1217,NA
KIF11,NA
KIF1A,NA
KIF26A,ncbi_423489
KIF9,NA
KIFC1,NA
KIFC3,NA
KLF11,NA
KLF5,NA
KLHL10,ncbi_420033
KMO,NA
KPNA2,NA
KPNA4,NA
KRAS,NA
KRT14,NA
KRT18,ncbi_101749333
KRT4,NA
KRT5,NA
KRT8,NA
KRTC42L,ncbi_420039
LACTB,NA
LAG3,NA
LAMB1,NA
LAMP1,NA
LAMP2,NA
LAMP3,NA
LAP3,NA
LAPTM4B,NA
LARGE,NA
LARP5,NA
LARS2,NA
LBA1,NA
LCAT,NA
LCOR,NA
LCP1,NA
LDHB,NA
LEPR,NA
LGALS3,NA
LGMN,NA
LIFR,NA
LIG3,NA
LIMCH1,ncbi_422780
LIMK2,NA
LIPA,NA
LMNB2,NA
LMO2,NA
LMOD1,ncbi_771476
LOC100857117,ncbi_100857117
LOC100857840,ncbi_100857840
LOC100858381,ncbi_100858381
LOC100859302,ncbi_100859302
LOC100859304,ncbi_100859304
LOC100859848,ncbi_100859848
LOC101748229,ncbi_101748229
LOC101748329,ncbi_101748329
LOC101748577,ncbi_101748577
LOC101749583,ncbi_101749583
LOC101750112,ncbi_101750112
LOC101750271,ncbi_101750271
LOC101751046,ncbi_101751046
LOC101752046,ncbi_101752046
LOC107049026,ncbi_107049026
LOC107049114,ncbi_107049114
LOC107049250,ncbi_107049250
LOC107049469,ncbi_107049469
LOC107050833,ncbi_107050833
LOC107052134,ncbi_107052134
LOC107052152,ncbi_107052152
LOC107052494,ncbi_107052494
LOC107052684,ncbi_107052684
LOC107052968,ncbi_107052968
LOC107053055,ncbi_107053055
LOC107053353,ncbi_107053353
LOC107053690,ncbi_107053690
