gene_name,gene_id
LOC107054459,ncbi_107054459
LOC107054474,ncbi_107054704
LOC107054710,ncbi_107054710
LOC107055315,ncbi_107055315
LOC107055319,ncbi_107055319
LOC107055361,ncbi_107055361
LOC107055485,ncbi_107055485
LOC107055677,ncbi_107055677
LOC107055678,ncbi_107055678
LOC107056921,ncbi_107056921
LOC112529960,ncbi_112529960
LOC112529985,ncbi_112529985
LOC112530130,ncbi_112530130
LOC112530287,ncbi_112530287
LOC112530332,ncbi_112530332
LOC112531119,ncbi_112531119
LOC112531280,ncbi_112531280
LOC112531377,ncbi_112531377
LOC112531378,ncbi_112531378
LOC112531384,ncbi_112531384
LOC112531552,ncbi_112531552
LOC112531693,ncbi_112531693
LOC112531724,ncbi_112531724
LOC112531899,ncbi_112531899
LOC112532141,ncbi_112532141
LOC112532617,ncbi_112532617
LOC112532725,ncbi_112532725
LOC112532784,ncbi_112532784
LOC112533211,ncbi_112533211
LOC112533356,ncbi_112533356
LOC112533547,ncbi_112533547
LOC414835,ncbi_414835
LOC415756,ncbi_415756
LOC415780,ncbi_415780
LOC416147,ncbi_416147
LOC417973,ncbi_417973
LOC418108,ncbi_418108
LOC418423,ncbi_418423
LOC420486,ncbi_420486
LOC421506,ncbi_421506
LOC423462,ncbi_423462
LOC427369,ncbi_427369
LOC769884,ncbi_769884
LOC770762,NA
LOC771422,ncbi_771422
LOC772080,ncbi_772080
LOC772243,ncbi_772243
LOC776275,ncbi_776275
LOXL4,ncbi_769927
LPGAT1,NA
LPIN2,NA
LPL,NA
LPP,NA
LPXN,ncbi_423129
LRMP,ncbi_418205
LRP4,ncbi_423189
LRRC25,ncbi_107055369
LRRC31,ncbi_424994
LRRC32,ncbi_428121
LTBP2,ncbi_428888
LTC4S,NA
LTK,NA
LY6E,ncbi_395550
LY96,NA
LYGL,ncbi_418700
LYZ,NA
M6PRBP1,NA
MAD2L1BP,NA
MAFB,NA
MAFF,NA
MAFG,NA
MAFK,NA
MALL,NA
MAML1,NA
MAML2,ncbi_428088
MANSC1,NA
MAP1A,NA
MAP1B,NA
MAP2K1,NA
MAP2K2,NA
MAP3K1,NA
MAP3K14,NA
MAP3K5,NA
MAP3K7IP1,NA
MAP3K8,NA
MAPRE1,NA
MARCKSL1,NA
MASTL,NA
MATR3,NA
MB21D2,ncbi_424905
MBL2,NA
MC2R,NA
MCAM,NA
MCF2L2,ncbi_424959
MCFD2,NA
MCL1,NA
MCM3,NA
MCM4,NA
MCM6,NA
MCOLN2,NA
MCTP1,ncbi_427113
MDGA2,ncbi_423563
MDM2,ncbi_395609
ME1,NA
MED15,NA
MEGF11,ncbi_415545
MEIKIN,ncbi_771537
MEIS2,NA
MEOX1,NA
MERTK,NA
METAP2,NA
METTL11B,ncbi_429066
MFAP1,NA
MGP,NA
MGST1,NA
MGST2,NA
MICALL2,NA
MINPP1,NA
MITD1,ncbi_418698
MKI67,NA
MLF1,NA
MLF2,NA
MME,NA
MMP23B,NA
MMP9,NA
MOV10,ncbi_419872
MPO,NA
MPST,NA
MRPL12,NA
MRPL19,NA
MRPL23,NA
MRPL32,NA
MRPS21,NA
MST1,NA
MSX2,NA
MT3,NA
MTF2,NA
MTHFD1,NA
MTMR3,NA
MTTP,NA
MUC2,ncbi_423101
MVP,NA
MX1,ncbi_395313
MXD1,NA
MYB,NA
MYBL1,NA
MYBL2,NA
MYC,NA
MyD88,NA
MYD88,NA
MYH10,NA
MYH1E,ncbi_427788
MYH1G,ncbi_427789
MYL1,NA
MYLK,NA
MYO1F,NA
MYO9A,ncbi_101748321
MYOM2,NA
N4BP1,NA
NABP1,ncbi_424046
NACC2,ncbi_417128
NAMPT,ncbi_417707
NAP1L1,NA
NARS,NA
NAV3,ncbi_417869
NBN,ncbi_374246
NCBP1,NA
NCDN,NA
NCF1,NA
NCF2,NA
NCKAP5,ncbi_424283
NCL,NA
NCOA3,NA
NDC80,NA
NDUFV2,NA
NEK2,NA
NET1,NA
NEURL1B,ncbi_427626
NEUROD6,ncbi_420754
NF2,NA
NFIL3,NA
NFKB2,NA
NFKBIA,NA
NGFB,NA
NID2,ncbi_423583
NIPA2,NA
NKTR,NA
NLRC5,ncbi_100857413
NMI,ncbi_424314
NONO,NA
NOS2,NA
NOS2A,NA
NOTCH2,NA
NOX4,ncbi_419012
NPAL1,NA
NPAS2,NA
NPAS3,ncbi_423315
NPM1,NA
NPM2,ncbi_107050133
NPM3,ncbi_770430
NR1D2,NA
NR3C1,NA
NR4A3,ncbi_420896
NR6A1,NA
NRBP1,NA
NRG1,NA
NRIP1,NA
NSDHL,NA
NSF,NA
NSUN7,ncbi_422782
NT5C3,NA
NT5C3B,ncbi_420034
NTNG2,ncbi_417171
NUAK2,NA
NUB1,ncbi_420433
NUBP1,NA
NUDT13,ncbi_423703
NUDT2,NA
NUFIP2,NA
NUMA1,NA
NUP107,NA
NUP153,NA
NUP205,NA
NUP210L,ncbi_426146
NUP214,NA
NUP50,NA
NUP88,NA
NUTF2,NA
OASL,NA
OAT,NA
ODC1,NA
OGFR,ncbi_428150
OGT,NA
OLFML1,ncbi_428842
OPRL1,NA
OPRM1,ncbi_421644
OPTN,NA
ORM1,ncbi_395220
OSMR,NA
OTP,ncbi_554220
OTUD4,NA
P2RX5,ncbi_395507
P2RX7,ncbi_771952
P2RY14,NA
P2RY6,NA
P4HA1,NA
PABPC1,NA
PABPC4,NA
PAFAH1B2,NA
PAK2,NA
PAK5,ncbi_416734
PALM2,NA
PANX1,ncbi_772164
PANX2,ncbi_426934
PAPD4,NA
PAQR9,ncbi_100858936
PARP1,NA
PARP12,ncbi_418100
PARP14,ncbi_101747378
PARP4,NA
PARP9,ncbi_424269
PARVG,NA
PASK,NA
PATL2,ncbi_415327
PAX6,NA
PCBP2,NA
PCCB,NA
PCDH7,NA
PCGF5,ncbi_423796
PCMT1,NA
PCNA,NA
PCP4,NA
PCTK2,NA
PDE9A,ncbi_418538
PDGFA,NA
PDGFRA,ncbi_395509
PDGFRL,NA
PDIA6,NA
PDK1,NA
PDK4,ncbi_420570
PDLIM3,NA
PDSS2,NA
PECAM1,NA
PEPCK-M,NA
PFKFB3,NA
PGD,NA
PGK1,NA
PGS1,NA
PHF11,NA
PHF15,NA
PHIP,NA
PHLDA1,ncbi_107052797
PHYHIP,ncbi_112530160
PI15,NA
PI4K2B,NA
PIAS1,NA
PIGA,ncbi_418624
PIGH,NA
PIGK,NA
PIGR,NA
PIGT,NA
PIK3R1,NA
PIK3R5,NA
PITX1,NA
PITX2,NA
PKD1,NA
PKN2,NA
PKP4,NA
PLAC8,NA
PLCB1,ncbi_427687
PLCD1,NA
PLCXD1,ncbi_418673
PLCZ1,NA
PLEK,ncbi_395669
PLEKHC1,NA
PLEKHO1,NA
PLK2,ncbi_427150
PLOD2,NA
PLS3,NA
PLSCR1,NA
PLVAP,ncbi_100857417
PLXNB2,NA
PMCH,NA
PML,ncbi_415302
PMM2,NA
PMP22,NA
PMPCB,NA
PNN,NA
PNPLA2,NA
PNPT1,NA
PNRC1,NA
POLD3,NA
POLD4,ncbi_112532567
POLG,NA
POLR2B,NA
POLR2C,NA
POLR2F,NA
POLR2H,NA
POLR2I,NA
POLR2K,NA
POLR3F,NA
PON2,NA
POPDC2,ncbi_404229
POSTN,ncbi_395429
POU2AF1,ncbi_373994
PPAP2B,NA
PPARG,NA
PPIB,NA
PPID,NA
PPM1B,NA
PPM1J,ncbi_419873
PPM1K,NA
PPP1CB,NA
PPP1R10,NA
PPP1R2,NA
PPP1R3E,ncbi_395787
PPP2R2A,NA
Ppp3ca,NA
PPP3CA,NA
PPT1,NA
PRDX4,NA
PRF1,NA
PRIC285,NA
PRIM2,NA
PRKAA1,NA
PRKAG1,NA
PRKAG2,NA
PRKAR1A,NA
PRKCI,NA
PRKDC,NA
PRKRIR,NA
PRL,NA
PRNP,NA
PROCR,NA
PROX1,ncbi_395802
PRPF18,NA
PRPF8,NA
PRPS2,NA
PRRX2,ncbi_396314
PSMA2,NA
PSMA3,NA
PSMA4,NA
PSMA7,NA
PSMB1,NA
PSMB2,NA
PSMC1,NA
PSMC2,NA
PSMC3,NA
PSMC6,NA
PSMD1,NA
PSME4,NA
PSTPIP1,NA
PTCH1,NA
PTCHD3L,ncbi_101750175
PTDSS2,NA
PTGES,NA
PTGS2,NA
PTP4A2,NA
PTPN1,NA
PTPN11,NA
PTPN2,NA
PTPRF,NA
PTPRK,NA
PTPRN2,ncbi_420449
PTPRO,NA
PTS,NA
PTX3,NA
PUF60,NA
PUM1,NA
PUS1,NA
PXK,ncbi_416065
PYGL,NA
QDPR,NA
R3HDM1,NA
RAB11A,NA
RAB11B,NA
RAB2,NA
RAB24,NA
RAB27A,NA
RAB28,NA
RAB36,NA
RAB39A,ncbi_101748614
RAB40B,NA
RAB5A,NA
RAB7,NA
RAB7A,NA
RAB9A,NA
RABGAP1L,NA
RAC2,NA
RAD21,NA
RALBP1,NA
RALY,NA
RANBP1,NA
RANP1,NA
RAP1B,NA
RASA3,NA
RASA4,NA
RASGEF1B,ncbi_100859744
RB1,NA
RB1CC1,NA
RBBP4,NA
RBBP8NL,ncbi_101747728
RBM25,NA
RBM43,ncbi_424313
RBM5,NA
RBM7,NA
RBMS1,NA
RBMS3,NA
RBMX,NA
RBP4,NA
RBX1,NA
RCAN1,NA
RECK,NA
RECQL,NA
RELN,ncbi_427850
RERE,NA
RET,ncbi_396107
RFC1,NA
RFC2,NA
RFX5,ncbi_100857912
RGS1,NA
RGS14,NA
RGS2,NA
RHOA,NA
RHOB,ncbi_395734
RHOC,ncbi_395869
RHOG,NA
RHOQ,NA
RIN2,NA
RIPK1,NA
RIPK2,NA
RIT1,NA
RNASEL,NA
RNF144B,ncbi_420827
RNF19B,ncbi_419669
RNF2,NA
RNF213,NA
ROD1,NA
RP11-400G3.5,ncbi_100858007
RPA3,NA
RPL21,NA
RPL22,NA
RPL31,NA
RPL37A,NA
RPL4,NA
RPL5,NA
RPLP0,NA
RPLP1,NA
RPS17,NA
RPS23,NA
RPS24,NA
RPS25,NA
RPS3,NA
RPSA,NA
RRAD,NA
RREB1,NA
RRM1,NA
RSAD2,ncbi_428650
RTDR1,NA
RUNX2,NA
RUNX3,NA
RXFP3,ncbi_431664
S100A11,NA
S100B,NA
S1PR4,ncbi_430495
SAMD4A,NA
SAMD9L,ncbi_420559
SAMHD1,ncbi_419125
SAP18,NA
SARDH,NA
SAT1,NA
SBF1,NA
SC4MOL,NA
SCARB2,NA
SCD,NA
SCG5,NA
SCRN1,NA
SCUBE1,NA
SCYA4,NA
SCYE1,NA
SDC2,NA
SDC4,NA
SDCBP,NA
SDHA,NA
SEC23A,NA
SELENBP1,NA
SEMA3F,NA
SEPP1,NA
SEPT12,ncbi_416408
SEPT7,NA
SEPT8,NA
SERPINB1,ncbi_420894
SERPINB2,NA
SERPINF2,ncbi_100857105
SETDB2,ncbi_418866
SF3A1,NA
SFPQ,NA
SFRS1,NA
SFRS2,NA
SFRS3,NA
SFTPA1,NA
SFXN4,NA
SGCB,NA
SGK1,NA
SGSH,NA
SGSM3,NA
SH3BP2,NA
SH3GLB1,NA
SH3PXD2A,NA
SH3RF3,ncbi_418731
SH3TC2,ncbi_426627
SHFM1,NA
SIDT2,NA
SIK1,ncbi_395417
SIRPA,NA
SIX1,NA
SKIV2L2,NA
SKP1,NA
SLA,NA
SLBP,NA
SLC13A1,ncbi_770198
SLC14A2,NA
SLC16A1,NA
SLC17A8,ncbi_427877
SLC17A9,ncbi_419236
SLC1A1,NA
SLC23A2,NA
SLC23A3,ncbi_429039
SLC25A1,NA
SLC25A22,NA
SLC25A28,NA
SLC25A29,ncbi_423456
SLC25A3,NA
SLC25A47,ncbi_423457
SLC26A1,ncbi_101748788
SLC26A8,ncbi_771137
SLC2A1,NA
SLC2A5,NA
SLC2A6,ncbi_425954
SLC2A9,NA
SLC30A1,NA
SLC31A2,NA
SLC3A1,NA
SLC4A11,ncbi_422943
SLC4A4,ncbi_422649
SLC5A1,NA
SLC5A9,ncbi_424625
SLC6A6,NA
SLC7A1,NA
SLC7A5,NA
SLC9A2,NA
SLCO2A1,ncbi_424862
SMAD1,NA
SMAD3,NA
SMAD9,ncbi_395543
SMARCB1,NA
SMC1B,NA
SMC3,NA
SMCHD1,ncbi_421057
SMTN,NA
SMYD3,NA
SNAI1,ncbi_396047
SNAP25,NA
SNN,NA
SNRPB2,NA
SNX10,ncbi_420628
SOCS1,ncbi_416630
SOCS2,NA
SOCS3,ncbi_395299
SOCS7,NA
SORD,NA
SP2,NA
SP3,NA
SPEG,NA
SPI1,NA
SPP1,NA
SPP2,NA
SPSB1,NA
SPTLC2,NA
SQLE,NA
SRD5A2,ncbi_772291
SREBF1,NA
SREBF2,NA
SRI,NA
SRM,NA
SRP14,NA
SRP9,NA
SSB,NA
SSBP1,NA
SSBP3,NA
SSR1,NA
SSTR4,NA
ST13,NA
ST14,ncbi_419731
ST3GAL2,NA
ST7,NA
ST8SIA4,ncbi_374155
STAR,NA
STARD13,NA
STARD5,NA
Stat1,NA
STAT1,ncbi_424044
STAT2,ncbi_100858732
Stat3,NA
STAT3,NA
STAT4,NA
STAU2,NA
STC2,NA
STK32A,ncbi_416351
STMN2,NA
STOML1,ncbi_415303
STOX1,ncbi_100858074
STRN,NA
STX1A,NA
STX8,NA
STXBP1,NA
STXBP3,NA
SULT1E1,NA
SUMO1,NA
SUMO3,NA
SURF1,NA
SYBL1,NA
SYCP2,ncbi_419219
SYN2,NA
TAC1,NA
TAF11,NA
TAGAP,NA
TAGLN,NA
Tap1,NA
TAP2,NA
TAPBP,ncbi_417048
TAPBPL,ncbi_426340
TARBP1,NA
TARS,NA
TAX1BP3,NA
TBC1D10A,NA
TBC1D5,NA
TBC1D8,NA
TBCC,NA
TBR1,ncbi_429029
TBX3,NA
TCF24,ncbi_429524
TCF4,NA
TCF7L2,NA
TCFL5,NA
TCP1,NA
TCP11,ncbi_419897
TEAD1,NA
TEAD4,NA
TERT,NA
TF,NA
TFAM,NA
TFAP2A,ncbi_395982
TFCP2,NA
TFEC,NA
TFIP11,NA
TFPI,NA
TFPI2,NA
TFRC,NA
TGFB2,ncbi_421352
TGFBI,NA
TGFBR2,NA
TGFBR3,NA
TGIF1,NA
TGM4,ncbi_420706
THBS1,NA
THOC4,NA
THRSP,NA
THSD7B,ncbi_424297
TIAL1,NA
TIFA,ncbi_422692
TIMP2,ncbi_374178
TIMP3,NA
TIMP4,NA
TIPARP,NA
TK1,NA
TLDC2,ncbi_101747236
TLE4,NA
TLK2,NA
TLN1,NA
TLR2,NA
TLR3,ncbi_422720
TLR4,NA
TLR5,NA
TLR7,NA
TM4SF1,NA
TM4SF18,ncbi_771841
TMED10,NA
TMEM110,NA
TMEM140,ncbi_417940
TMEM158,ncbi_776186
TMEM173,ncbi_768990
TMEM41B,NA
TMEM45A,ncbi_418389
TMEM49,NA
TMEM51,NA
TMPRSS2,ncbi_418528
TNC,ncbi_396440
TNFAIP2,NA
TNFAIP3,NA
TNFAIP6,ncbi_424315
TNFRSF11B,ncbi_378803
TNFRSF1A,NA
TNFRSF1B,NA
TNFSF10,NA
Tnfsf11,NA
TNFSF13B,NA
TNFSF8,NA
TNIP3,ncbi_771693
TNNT2,NA
TOMM20,NA
TOP1,NA
TOP2A,NA
TOP2B,NA
TOR1BL,ncbi_417192
TOR3A,NA
TOX3,ncbi_415724
TP53BP1,NA
TP73,ncbi_419382
TPM1,NA
TPO,NA
TPSNRL,ncbi_100857331
TPST1,NA
TPT1,NA
TRA2A,NA
TRADD,NA
TRAF-1,NA
TRAF1,NA
TRAF4,NA
TRAF5,NA
TRAF6,NA
TRAFD1,ncbi_416884
TRAIL-LIKE,NA
TRAM2,NA
TRANK1,ncbi_420728
TRAP1,NA
TREX1,NA
TRIM14,NA
TRIM25,ncbi_417401
TRIM58,ncbi_770718
TRIM66,ncbi_423056
TRIM8,NA
TRIP12,NA
TRMT12,NA
TROVE2,NA
TRPM6,XLOC_018329
TRPV2,ncbi_417603
TSC22D1,NA
TSHB,NA
TTC1,NA
TTC3,NA
TTK,NA
TTLL4,NA
TUB,NA
TUBA1C,NA
TUBA4A,NA
TUBA8A,ncbi_418166
TUBB,NA
TUBB3,NA
TULP1,ncbi_395321
TXN,NA
TYRO3,NA
UBA7,NA
UBE1L,NA
UBE2E1,NA
UBE2J1,NA
UBE2L3,NA
UBE2L6,ncbi_100858073
UBE2N,NA
UBE2V2,NA
UBE3A,NA
UBE4B,NA
UBR4,NA
UCHL3,NA
UGCG,NA
UHRF1,NA
ULK4,NA
UNC13C,ncbi_415413
UNC93B1,NA
UNG,NA
UPP1,NA
UPP2,NA
UQCRB,NA
UQCRC1,NA
UQCRC2,NA
UQCRFSL1,NA
USP1,NA
USP10,NA
USP18,ncbi_418167
USP25,NA
USP4,NA
USP42,NA
USP50,ncbi_101747474
VAT1,ncbi_420009
VCAM1,ncbi_424467
VEGF,NA
VEGFC,NA
VIP,NA
VNN1,NA
VPS13D,NA
VRK1,NA
VSNL1,NA
VSTM2L,ncbi_419297
WARS,NA
WASF2,NA
WDFY1,NA
WDR31,NA
WDR43,NA
WHDC1,NA
WISP2,ncbi_419192
WNT1,ncbi_396160
WNT5B,ncbi_418154
WNT7A,ncbi_374168
WNT9A,NA
WWP1,NA
XAF1,NA
XDH,ncbi_396025
XG,NA
XKR4,ncbi_100858171
XLOC_000204,XLOC_000204
XLOC_000505,XLOC_000505
XLOC_001390,XLOC_001390
XLOC_001970,XLOC_001970
XLOC_001972,XLOC_001972
XLOC_002210,XLOC_002210
XLOC_002263,XLOC_002263
XLOC_004019,XLOC_004019
XLOC_004210,XLOC_004210
XLOC_004590,XLOC_004590
XLOC_004781,XLOC_004781
XLOC_004839,XLOC_004839
XLOC_004852,XLOC_004852
XLOC_005030,XLOC_005030
XLOC_006649,XLOC_006649
XLOC_007980,XLOC_007980
XLOC_008277,XLOC_008277
XLOC_008511,XLOC_008511
XLOC_008840,XLOC_008840
XLOC_009268,XLOC_009268
XLOC_009363,XLOC_009363
XLOC_009804,XLOC_009804
XLOC_010851,XLOC_010851
XLOC_010943,XLOC_010943
XLOC_010965,XLOC_010965
XLOC_011629,XLOC_011629
XLOC_012347,XLOC_012347
XLOC_012536,XLOC_012536
XLOC_014008,XLOC_014008
XLOC_014013,XLOC_014013
XLOC_014558,XLOC_014558
XLOC_019671,XLOC_019671
XPNPEP3,NA
XPO1,NA
XRCC6,NA
XRN1,NA
XRN2,NA
YARS,NA
YF6,ncbi_427737
YWHAE,NA
YWHAZ,NA
YY1,NA
ZAK,NA
ZBTB20,ncbi_100859265
ZBTB41,NA
ZC3HAV1,ncbi_426315
ZCCHC2,NA
ZDHHC4,ncbi_416561
ZEB1,NA
ZFX,NA
ZMAT5,NA
ZNF142,NA
ZNF143,NA
ZNF295,NA
ZNF313,NA
ZNF592,NA
ZNFX1,ncbi_419218
ZNRF3,NA
ZRF1,NA
ZYX,NA
